Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
3sigma,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-322.080000000007,0,1964,1464,0,3428
3sigma,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-153.11999999999932,0,2732,696,0,3428
3sigma,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-160.81999999999928,0,2697,731,0,3428
3sigma,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,3428
3sigma,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-145.58418308815308,95,2339,686,308,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-139.12369653724696,67,2370,655,336,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-136.0862519953832,129,2383,642,274,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5,-143.90719302913854,30,2348,677,373,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-231.73341868702153,156,1920,1105,247,3428
3sigma,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-216.99383077838053,288,1974,1051,115,3428
3sigma,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.5,-0.15158859050398732,1,1213,5,162,1381
3sigma,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.5,-1.235867654872965,2,1214,5,160,1381
3sigma,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.5,-10.542453557826452,32,1093,62,121,1308
3sigma,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.5,-11.442008638683149,2,1096,59,151,1308
3sigma,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.5,-14.374429972021076,59,1150,82,106,1397
3sigma,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.5,-9.791615347980693,46,1163,70,118,1397
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-199.16808582782028,129,2077,949,273,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-22.636956074466017,35,2912,114,367,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,-7.2780953177747625,18,2983,43,384,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-170.80081143538465,199,2184,841,204,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,-9.069672150809428,43,3016,69,300,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-19.023788355427108,34,2934,91,369,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,-737.2200000000585,0,77,3351,0,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-264.220405345092,125,1786,1237,280,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-349.1874920400079,247,1859,1689,226,4021
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-263.69137484887926,223,1781,1242,182,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-189.30463590476154,276,2156,869,127,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-314.97713289216364,366,2069,1478,108,4021
3sigma,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-15.246816359738459,14,2946,80,388,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-83.51956055742635,110,3055,408,355,3928
3sigma,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-3.184119773785553,33,908,23,93,1057
3sigma,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-35.251064215859046,88,2834,192,314,3428
3sigma,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-10.331898858371096,53,2969,57,349,3428
3sigma,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5,-19.15365332225357,20,5697,94,706,6517
3sigma,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,-360.68036438829455,367,14157,1644,1132,17300
3sigma,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-0.9254595049758946,20,3064,18,326,3428
3sigma,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.5,-296.43621723044447,329,18268,1409,1939,21945
3sigma,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.5,-25.71188378786193,12,8414,121,1023,9570
3sigma,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.5,-44.543563301511966,39,1176,234,151,1600
3sigma,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.5,-252.3329513077638,195,2820,1215,335,4565
3sigma,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.5,-10.178838334660702,13,1732,52,226,2023
3sigma,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.5,-0.9526997813460627,20,1862,13,230,2125
3sigma,reward_low_FP_rate,realTraffic/speed_6005.csv,0.5,-0.4773779982440618,3,1880,6,236,2125
