Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
3sigma,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-161.0400000000035,0,1964,1464,0,3428
3sigma,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-76.55999999999966,0,2732,696,0,3428
3sigma,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-80.40999999999964,0,2697,731,0,3428
3sigma,standard,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,3428
3sigma,standard,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,3428
3sigma,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-72.29409311886013,95,2339,686,308,3428
3sigma,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-69.06384984340707,67,2370,655,336,3428
3sigma,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-67.54480927086018,129,2383,642,274,3428
3sigma,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,-71.45376578014812,30,2348,677,373,3428
3sigma,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-115.36670934351076,156,1920,1105,247,3428
3sigma,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-108.00031315669673,288,1974,1051,115,3428
3sigma,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,0.39841084339917165,1,1213,5,162,1381
3sigma,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-0.6858730009259285,2,1214,5,160,1381
3sigma,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-3.8409114588137445,32,1093,62,121,1308
3sigma,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,-5.289955025665493,2,1096,59,151,1308
3sigma,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-5.888021713692423,59,1150,82,106,1397
3sigma,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-4.093452492647857,46,1163,70,118,1397
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-98.58404291391014,129,2077,949,273,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-10.322534153668698,35,2912,114,367,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,-2.6584406042974456,18,2983,43,384,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-84.90074844246476,199,2184,841,204,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,-4.051424598516729,43,3016,69,300,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-9.01378835542711,34,2934,91,369,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,-368.61000000002923,0,77,3351,0,3428
3sigma,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-131.62302380090037,125,1786,1237,280,3428
3sigma,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-174.10230299257907,247,1859,1689,226,4021
3sigma,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-131.34568742443963,223,1781,1242,182,3428
3sigma,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-94.15231795238077,276,2156,869,127,3428
3sigma,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-156.51143192853417,366,2069,1478,108,4021
3sigma,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-6.661573192594517,14,2946,80,388,3428
3sigma,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-40.269259267832595,110,3055,408,355,3928
3sigma,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-0.6541203215853069,33,908,23,93,1057
3sigma,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-16.629159018334846,88,2834,192,314,3428
3sigma,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-4.256493992079311,53,2969,57,349,3428
3sigma,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5,-9.582924908112872,20,5697,94,706,6517
3sigma,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,-179.8403643882886,367,14157,1644,1132,17300
3sigma,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,0.9361965765366761,20,3064,18,326,3428
3sigma,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-146.6920552395577,329,18268,1409,1939,21945
3sigma,standard,realKnownCause/nyc_taxi.csv,0.5,-12.48173069787762,12,8414,121,1023,9570
3sigma,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-21.466986993194727,39,1176,234,151,1600
3sigma,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-125.31902014981748,195,2820,1215,335,4565
3sigma,standard,realTraffic/occupancy_6005.csv,0.5,-4.644078507458552,13,1732,52,226,2023
3sigma,standard,realTraffic/occupancy_t4013.csv,0.5,0.44539546773880323,20,1862,13,230,2125
3sigma,standard,realTraffic/speed_6005.csv,0.5,0.18262200175593823,3,1880,6,236,2125
3sigma,standard,realTraffic/speed_7578.csv,0.5,1.0413528969932457,48,807,35,68,958
3sigma,standard,realTraffic/speed_t4013.csv,0.5,-1.6108133755704435,75,1838,33,175,2121
3sigma,standard,realTraffic/TravelTime_387.csv,0.5,-17.47195971259362,56,1673,203,193,2125
3sigma,standard,realTraffic/TravelTime_451.csv,0.5,-6.910238055457698,41,1536,85,176,1838
3sigma,standard,realTweets/Twitter_volume_AAPL.csv,0.5,-137.1978617276747,496,12185,1379,1092,15152
3sigma,standard,realTweets/Twitter_volume_AMZN.csv,0.5,-25.45362447302447,148,13220,281,1432,15081
3sigma,standard,realTweets/Twitter_volume_CRM.csv,0.5,-53.87741036567682,222,13010,549,1371,15152
3sigma,standard,realTweets/Twitter_volume_CVS.csv,0.5,-349.72282993678243,474,10249,3328,1052,15103
3sigma,standard,realTweets/Twitter_volume_FB.csv,0.5,-65.76925392145311,126,12850,651,1456,15083
3sigma,standard,realTweets/Twitter_volume_GOOG.csv,0.5,-65.51023927475235,199,12994,666,1233,15092
3sigma,standard,realTweets/Twitter_volume_IBM.csv,0.5,-68.47121059709026,147,12887,666,1443,15143
