Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,-0.66,0,3422,6,0,3428
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,0.568222579116,4,3082,3,339,3428
stlheds,standard,realTraffic/occupancy_6005.csv,0.5,0.861272490375,1,1784,0,238,2023
stlheds,standard,realTweets/Twitter_volume_AAPL.csv,0.5,0.278754760401,15,13549,15,1573,15152
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-1.22,0,3023,2,403,3428
stlheds,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,0.734840399955,7,3025,0,396,3428
stlheds,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,-0.683201033126,19,15786,15,1480,17300
stlheds,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-1.15704026998,8,3463,0,457,3928
stlheds,standard,realTraffic/TravelTime_387.csv,0.5,-1.46598133079,1,1873,3,248,2125
stlheds,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-1.87243557939,0,3540,8,473,4021
stlheds,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-1.3205760291,2,3021,2,403,3428
stlheds,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5,-2.0,0,5791,0,726,6517
stlheds,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-0.226875257997,44,19677,0,2224,21945
stlheds,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,0.862098587352,1,1155,0,152,1308
stlheds,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,0.631808709334,3,3021,4,400,3428
stlheds,standard,realTweets/Twitter_volume_UPS.csv,0.5,-1.67575183751,8,13509,22,1577,15116
stlheds,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-1.22,0,1216,2,163,1381
stlheds,standard,realTraffic/speed_6005.csv,0.5,0.842622001756,3,1886,0,236,2125
stlheds,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,1.60408988127,4,3079,3,342,3428
stlheds,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,0.0,0,3428,0,0,3428
stlheds,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,0.86067182427,6,3025,0,397,3428
stlheds,standard,realTweets/Twitter_volume_FB.csv,0.5,-0.0386242030504,5,13485,16,1577,15083
stlheds,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-0.33,0,3425,3,0,3428
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-1.48704820539,1,3021,5,401,3428
stlheds,standard,realTweets/Twitter_volume_PFE.csv,0.5,1.81623530548,13,13505,15,1575,15108
stlheds,standard,realTweets/Twitter_volume_GOOG.csv,0.5,0.29183520232,21,13655,5,1411,15092
stlheds,standard,realTraffic/occupancy_t4013.csv,0.5,1.72522152023,4,1875,0,246,2125
stlheds,standard,realTraffic/TravelTime_451.csv,0.5,-1.0,0,1621,0,217,1838
stlheds,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-0.263526424877,2,1233,0,162,1397
stlheds,standard,realTweets/Twitter_volume_IBM.csv,0.5,0.300884687766,14,13538,15,1576,15143
stlheds,standard,realTraffic/speed_t4013.csv,0.5,1.74610925474,3,1871,0,247,2121
stlheds,standard,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,3428
stlheds,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-1.24384594296,1,1231,1,164,1397
stlheds,standard,realTraffic/speed_7578.csv,0.5,-2.12839579367,1,842,0,115,958
stlheds,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-1.76996130263,0,3018,7,403,3428
stlheds,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-1.13338449644,2,1155,0,151,1308
stlheds,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-1.04751346265,1,1218,1,161,1381
stlheds,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-2.0,0,3026,0,402,3428
stlheds,standard,realKnownCause/nyc_taxi.csv,0.5,0.57513720906,19,8535,0,1016,9570
stlheds,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,1.50735919444,5,3024,2,397,3428
stlheds,standard,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,3428
stlheds,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,0.39882124279,3,3022,3,400,3428
stlheds,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-1.2864908955,1,4028,7,529,4565
stlheds,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,0.791776994612,7,3025,0,396,3428
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,-2.0,0,3026,0,402,3428
stlheds,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,0.771398311229,7,3025,0,396,3428
stlheds,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-2.0,0,1410,0,190,1600
stlheds,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-2.0,0,931,0,126,1057
stlheds,standard,realTweets/Twitter_volume_AMZN.csv,0.5,2.10848000304,14,13486,15,1566,15081
stlheds,standard,realTweets/Twitter_volume_CVS.csv,0.5,1.76368206139,21,13568,9,1505,15103
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,0.186335924759,3,3019,4,402,3428
stlheds,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,0.444678457003,6,3024,1,397,3428
